DE   File of van der Waals radii for atoms in proteins
XX
NR   24
XX
AA   ALA
XX
ID   A 
XX
NN   12  
XX
AT   N    ; 1.7
AT   CA   ; 1.9
AT   C    ; 1.7   
AT   O    ; 1.4   
AT   CB   ; 1.9   
AT   OXT  ; 1.4
AT   H    ; 1.2
AT   OH   ; 1.4
AT   HA   ; 1.2
AT   HB   ; 1.2   
AT   HG   ; 1.2   
AT   D    ; 1.2
//
AA   ARG
XX
ID   R 
XX
NN   31
XX
AT   N    ; 1.7   
AT   CA   ; 1.9   
AT   C    ; 1.7   
AT   O    ; 1.4   
AT   CB   ; 1.9   
AT   CG   ; 1.9   
AT   CD   ; 1.9   
AT   NE   ; 1.7   
AT   CZ   ; 1.7   
AT   NH1  ; 1.7   
AT   NH2  ; 1.7   
AT   OXT  ; 1.4
AT   H    ; 1.2   
AT   HE   ; 1.2   
AT   HH1  ; 1.2   
AT   HH2  ; 1.2   
AT   HG   ; 1.2   
AT   D    ; 1.2
AT   HA   ; 1.2
AT   HB   ; 1.2   
AT   HD   ; 1.2   
AT   HD1  ; 1.2
AT   HD2  ; 1.2
AT   HE1  ; 1.2
AT   HE2  ; 1.2
AT   DE   ; 1.7   
AT   DE1  ; 1.7   
AT   DE2  ; 1.7   
AT   DH   ; 1.2   
AT   DH1  ; 1.2   
AT   DH2  ; 1.2   
//
AA   ASN
XX
ID   N  
XX
NN   19  
XX
AT   N    ; 1.7   
AT   CA   ; 1.9   
AT   C    ; 1.7   
AT   O    ; 1.4   
AT   CB   ; 1.9   
AT   CG   ; 1.7   
AT   OD1  ; 1.4   
AT   ND2  ; 1.7   
AT   AD1  ; 1.7   
AT   AD2  ; 1.7   
AT   OXT  ; 1.4
AT   H    ; 1.2
AT   HD1  ; 1.2   
AT   HD2  ; 1.2   
AT   DD2  ; 1.2   
AT   D    ; 1.2
AT   HG   ; 1.2   
AT   HA   ; 1.2   
AT   HB   ; 1.2   
//
AA   ASP  
XX
ID   D  
XX
NN   16
XX
AT   N    ; 1.7   
AT   CA   ; 1.9   
AT   C    ; 1.7   
AT   O    ; 1.4   
AT   CB   ; 1.9   
AT   CG   ; 1.7   
AT   OD1  ; 1.4   
AT   OD2  ; 1.4   
AT   OXT  ; 1.4
AT   D    ; 1.2
AT   H    ; 1.2  
AT   HA   ; 1.2   
AT   HB   ; 1.2   
AT   HD1  ; 1.2   
AT   HD2  ; 1.2   
AT   HG   ; 1.2   
//
AA   CYS  
XX
ID   C  
XX
NN   13
XX
AT   N    ; 1.7   
AT   CA   ; 1.9   
AT   C    ; 1.7   
AT   O    ; 1.4   
AT   CB   ; 1.9   
AT   SG   ; 1.8   
AT   OXT  ; 1.4
AT   H    ; 1.2   
AT   D    ; 1.2
AT   HA   ; 1.2   
AT   HB   ; 1.2   
AT   HD   ; 1.2   
AT   HG   ; 1.2   
//
AA   GLN  
XX
ID   Q  
XX
NN   20
XX
AT   N    ; 1.7   
AT   CA   ; 1.9   
AT   C    ; 1.7   
AT   O    ; 1.4   
AT   CB   ; 1.9   
AT   CG   ; 1.9   
AT   CD   ; 1.7   
AT   OE1  ; 1.4   
AT   NE2  ; 1.7   
AT   AE1  ; 1.7   
AT   AE2  ; 1.7   
AT   OXT  ; 1.4
AT   H    ; 1.2   
AT   D    ; 1.2   
AT   HE2  ; 1.2   
AT   HG   ; 1.2   
AT   HA   ; 1.2   
AT   HB   ; 1.2
AT   DE1  ; 1.7   
AT   DE2  ; 1.7   
//
AA   GLU  
XX
ID   E  
XX
NN   19
XX
AT   N    ; 1.7   
AT   CA   ; 1.9   
AT   C    ; 1.7   
AT   O    ; 1.4   
AT   CB   ; 1.9   
AT   CG   ; 1.9   
AT   CD   ; 1.7   
AT   OE1  ; 1.4   
AT   OE2  ; 1.4   
AT   OXT  ; 1.4
AT   H    ; 1.2 
AT   D    ; 1.2 
AT   HE1  ; 1.2 
AT   HE2  ; 1.2 
AT   HD1  ; 1.2 
AT   HD2  ; 1.2 
AT   HA   ; 1.2   
AT   HB   ; 1.2   
AT   HG   ; 1.2   
//
AA   GLY  
XX
ID   G  
XX
NN   11
XX
AT   N    ; 1.7   
AT   CA   ; 1.9   
AT   C    ; 1.7   
AT   O    ; 1.4   
AT   OXT  ; 1.4
AT   H    ; 1.2   
AT   D    ; 1.2   
AT   HA   ; 1.2   
AT   HB   ; 1.2   
AT   CB   ; 1.9   
AT   HG   ; 1.2   
//
AA   HIS  
XX
ID   H        
XX
NN   28  
XX
AT   N    ; 1.7   
AT   CA   ; 1.9   
AT   C    ; 1.7   
AT   O    ; 1.4   
AT   CB   ; 1.9   
AT   CG   ; 1.9   
AT   ND1  ; 1.7   
AT   CD2  ; 1.9
AT   CE1  ; 1.9   
AT   NE2  ; 1.7   
AT   AD1  ; 1.8   
AT   AD2  ; 1.8
AT   AE1  ; 1.8   
AT   AE2  ; 1.8   
AT   OXT  ; 1.4
AT   H    ; 1.2   
AT   HD1  ; 1.2   
AT   HD2  ; 1.2   
AT   HE1  ; 1.2   
AT   HE2  ; 1.2   
AT   HG   ; 1.2  
AT   D    ; 1.2   
AT   HA   ; 1.2
AT   HB   ; 1.2
AT   DD1  ; 1.2
AT   DD2  ; 1.2
AT   DE1  ; 1.7   
AT   DE2  ; 1.7   
//
AA   ILE  
XX
ID   I  
XX
NN   21
XX
AT   N    ; 1.7   
