# edamtoacd.dat
# This file lists values for the ACD relations: attribute taken from the EDAM ontology, for ACD data items with specified attributes.
#
# The meaning of the columns is:
# ACD datatype | Value of relations: attribute | Attributes that must be specified
# IMPORTANT.  When used with the EMBOSS application "acdrelations":
# - the first line for each datatype should have no attributes defined - this gives the default value of the relations: attribute.
# - subsequent lines for a given datatype must be in order of number of attributes in the third column (lowest number first)
# - the attribute:value pairs (third column) must be delimited by ';'
#
align          | "EDAM: Sequence alignment data"                             |
align          | "EDAM: Nucleotide sequence alignment data"                  | type:"nucleotide"
align          | "EDAM: Protein sequence alignment data"                     | type:"protein"
align          | "EDAM: Multiple sequence alignment data"                    | minseqs:"3"
align          | "EDAM: Pairwise sequence alignment data"                    | minseqs:"2";       maxseqs:"2"
align          | "EDAM: Multiple protein sequence alignment data"            | type:"protein";    minseqs:"3"
align          | "EDAM: Multiple nucleotide sequence alignment data"         | type:"nucleotide"; minseqs:"3"
align          | "EDAM: Pairwise nucleotide sequence alignment data"         | type:"nucleotide"; minseqs:"2"; maxseqs:"2"
align          | "EDAM: Pairwise protein sequence alignment data"            | type:"protein";    minseqs:"2"; maxseqs:"2"
array          | "EDAM: Generic float array"                                 | 
#
arraychar      | "EDAM: Generic character array"                             | 
#
arrayword      | "EDAM: Generic string array"                                | 
#
arraystring    | "EDAM: Generic string array"                                | 
#
arrayint       | "EDAM: Generic integer array"                               | 
#
arrayfloat     | "EDAM: Generic float array"                                 | 
#
arraydouble    | "EDAM: Generic double array"                                | 
#
boolean        | "EDAM: Generic boolean"                                     | 
#
codon          | "EDAM: Codon usage table"                                   | 
#
cpdb           | "EDAM: Protein tertiary structure"                          | 
#
datafile       | "EDAM: EMBOSS data file"                                    | 
#
directory      | "EDAM: Directory"                                           | 
#
dirlist        | "EDAM: Directory"                                           | 
#
discretestates | "EDAM: PHYLIP discrete states file"                         | 
#
distances      | "EDAM: PHYLIP phylogenetic distance matrix file"            | 
#
features       | "EDAM: Sequence feature table"                              | 
features       | "EDAM: Nucleotide sequence feature table"                   | type:"nucleotide"
features       | "EDAM: Protein sequence feature table"                      | type:"protein" 
#
featout        | "EDAM: Sequence feature table"                              | 
featout        | "EDAM: Nucleotide sequence feature table"                   | type:"nucleotide"
featout        | "EDAM: Protein sequence feature table"                      | type:"protein"
#
filelist       | "EDAM: List of file names"                                  | 
#
float          | "EDAM: Generic float"                                       | 
#
frequencies    | "EDAM: PHYLIP phylogenetic character frequency values file" | 
#
graph          | "EDAM: EMBOSS graph file"                                   | 
#
#
infile         | "EDAM: Free text file"                                      | 
infile         | "EDAM: Free text file"                                      | binary:"N"
infile         | "EDAM: Binary file"                                         | binary:"Y"
#
integer        | "EDAM: Generic integer"                                     | 
#
list           | "EDAM: Generic string array"                                | 
#
matrix         | "EDAM: Integer comparison matrix"                           | 
matrix         | "EDAM: Integer nucleotide comparison matrix"                | protein:"N"
matrix         | "EDAM: Integer amino acid comparison matrix"                | protein:"Y"
#
matrixf        | "EDAM: Float comparison matrix"                             | 
matrixf        | "EDAM: Float nucleotide comparison matrix"                  | protein:"N"
matrixf        | "EDAM: Float amino acid comparison matrix"                  | protein:"Y"
#
outcodon       | "EDAM: Codon usage table"                                   | 
#
outcpdb        | "EDAM: Protein tertiary structure"                          | 
#
outdata        | "EDAM: EMBOSS data file"                                    | 
#
outdir         | "EDAM: Directory"                                           | 
#
outdiscrete    | "EDAM: PHYLIP discrete states file"                         | 
outdistance    | "EDAM: PHYLIP phylogenetic distance matrix file"            |
#
outfile        | "EDAM: Free text file"                                      | 
outfile        | "EDAM: Free text file"                                      | binary:"N"
outfile        | "EDAM: Binary file"                                         | binary:"Y"
#
outfile        |  "EDAM:Nucleic acid conformation report"                    | knowntype:"banana output"                       
outfile        |  "EDAM:Nucleic acid conformation report"                    | knowntype:"btwisted output"                     
outfile        |  "EDAM:Codon adaptation index "                             | knowntype:"cai output"                          
outfile        |  "EDAM:Protein charge plot"                                 | knowntype:"charge output"                       
outfile        |  "EDAM:Coding region report"                                | knowntype:"checktrans output"                   
outfile        |  "EDAM:Nc statistic"                                        | knowntype:"chips output"                        
outfile        |  "EDAM:Codon usage fraction difference"                     | knowntype:"codcmp output"                       
outfile        |  "EDAM:Sequence record"                                     | knowntype:"coderet output"                      
outfile        |  "EDAM:CpG island and isochore report"                      | knowntype:"cpgplot output"                      
outfile        |  "EDAM:CpG island and isochore report"                      | knowntype:"cpgreport output"                    
outfile        |  "EDAM:Codon usage table file"                              | knowntype:"cusp output"                         
outfile        |  "EDAM:Codon usage table file"                              | knowntype:"cutgextract output"                  
outfile        |  "EDAM:Database index"                                      | knowntype:"dbiblast output"                     
outfile        |  "EDAM:Database index"                                      | knowntype:"dbifasta output"                     
outfile        |  "EDAM:Database index"                                      | knowntype:"dbiflat output"                      
outfile        |  "EDAM:Database index"                                      | knowntype:"dbigcg output"                       
outfile        |  "EDAM:Database index"                                      | knowntype:"dbxfasta output"                     
outfile        |  "EDAM:Database index"                                      | knowntype:"dbxflat output"                      
outfile        |  "EDAM:Database index"                                      | knowntype:"dbxgcg output"                       
outfile        |  "EDAM:Database index"                                      | knowntype:"dbxreport output"                    
outfile        |  "EDAM:Database index"                                      | knowntype:"dbxstat output"                      
outfile        |  "EDAM:Phylogenetic distance matrix file"                   | knowntype:"distmat output"                      
outfile        |  "EDAM:DIALIGN sequence alignment file"                     | knowntype:"edialign output"                     
outfile        |  "EDAM:List of file names"                                  | knowntype:"embossdata output"                   
outfile        |  "EDAM:Application version information"                     | knowntype:"embossversion output"                
outfile        |  "EDAM:Clustalw tree record"                                | knowntype:"emma output"                         
outfile        |  "EDAM:Peptide molecular weight hits report"                | knowntype:"emowse output"                        
outfile        |  "EDAM:Sequence record"                                     | knowntype:"entret output"                       
outfile        |  "EDAM:PEST site report"                                    | knowntype:"epestfind output"                    
outfile        |  "EDAM:Primer report"                                       | knowntype:"eprimer3 output"                     
outfile        |  "EDAM:Repeat sequence map report"                          | knowntype:"equicktandem output"                 
outfile        |  "EDAM:Coding region report"                                | knowntype:"est2genome output"                   
outfile        |  "EDAM:Repeat sequence map report"                          | knowntype:"etandem output"                      
outfile        |  "EDAM:Enzyme kinetics report"                              | knowntype:"findkm output"                       
outfile        |  "EDAM:Sequence composition report"                         | knowntype:"freak output"                        
outfile        |  "EDAM:CpG island and isochore report"                      | knowntype:"geecee output"                       
outfile        |  "EDAM:Protein isoelectric point report"                    | knowntype:"giep output"                         
outfile        |  "EDAM:Peptide hydrophobic moment report"                   | knowntype:"hmoment output"                      
outfile        |  "EDAM:Protein isoelectric point report"                    | knowntype:"iep output"                          
outfile        |  "EDAM:Sequence alignment information report"               | knowntype:"infoalign output"                     
outfile        |  "EDAM:Nucleotide base information report"                  | knowntype:"infobase output"                     
outfile        |  "EDAM:Amino acid information report"                       | knowntype:"inforesidue output"                  
outfile        |  "EDAM:Sequence information report"                         | knowntype:"infoseq output"                      
outfile        |  "EDAM:CpG island and isochore report"                      | knowntype:"isochore output"                     
outfile        |  "EDAM:EMBOSS List File"                                    | knowntype:"listor output"                       
outfile        |  "EDAM:EMBOSS megamerger log file"                          | knowntype:"megamerger output"                          
outfile        |  "EDAM:Peptide molecular weight report"                     | knowntype:"mwcontam output"                     
outfile        |  "EDAM:Peptide molecular weight report"                     | knowntype:"mwfilter output"                     
outfile        |  "EDAM:Protein secondary structure record"                  | knowntype:"newcoils output"                     
outfile        |  "EDAM:CpG island and isochore report"                      | knowntype:"newcpgreport output"                 
outfile        |  "EDAM:CpG island and isochore report"                      | knowntype:"newcpgseek output"                   
outfile        |  "EDAM:Free text file"                                      | knowntype:"nohtml output"                       
